State,Program,Service Category,Notes,Total Computable,Federal Share,Federal Share Medicaid,Federal Share ARRA,Federal Share BIPP,State Share,Year,Location
Oklahoma,Administration,HIT: Implementation and Operation: Cost of Private Contractors,,726203,653582,,,,72621,2016,"Oklahoma
(35.468494, -97.521264)"
Vermont,Medical Assistance Program,T-Outpatient Hospital Services - Reg. Payments,,0,0,0,0,0,0,2016,"Vermont
(43.622479, -72.51927)"
Ohio,Medical Assistance Program,Nurse Mid-Wife,,-10,-6,-6,0,0,-4,2016,"Ohio
(40.056807, -82.405897)"
Wyoming,Medical Assistance Program,120% - 134% Of Poverty,,822044,822044,822044,0,0,0,2016,"Wyoming
(43.23558, -108.110518)"
South Dakota,Administration,Immigration Status,,0,0,,,,0,2016,"South Dakota
(44.35371, -100.373709)"
Washington,Medical Assistance Program,C-Drug Rebate - National,,-2416,-2126,-2126,0,0,-290,2016,"Washington
(47.517368, -120.467672)"
Northern Mariana Islands,Medical Assistance Program,Nursing Facility Services - Sup. Payments,,0,0,0,0,0,0,2016,"Northern Mariana Islands
(15.1834, 145.725693)"
Georgia,Medical Assistance Program,C-Premiums: Over 150% - Gross Premiums Paid,,0,0,0,0,0,0,2016,"Georgia
(32.836038, -83.631709)"
Nebraska,Medical Assistance Program,C-Medical Transport,,21,19,19,0,0,2,2016,"Nebraska
(41.640503, -99.367122)"
Oregon,Medical Assistance Program,C-Increased ACA OFFSET - MCO - 100%,,0,0,0,0,0,0,2016,"Oregon
(44.567912, -120.156945)"
Nebraska,Medical Assistance Program,C-Inpatient Mental Health - DSH,,0,0,0,0,0,0,2016,"Nebraska
(41.640503, -99.367122)"
Wyoming,Medical Assistance Program,T-MCO - State Sidebar Agreement,,0,0,0,0,0,0,2016,"Wyoming
(43.23558, -108.110518)"
West Virginia,Medical Assistance Program,T-Tobacco Cessation for Preg Women,,0,0,0,0,0,0,2016,"West Virginia
(38.668501, -80.709421)"
Massachusetts,Medical Assistance Program,Home & Community-Based Services - Reg. Pay. (Waiv),,1520657081,760983120,760329399,-22294,676015,759673961,2016,"Massachusetts
(42.268546, -72.085064)"
Missouri,Administration,MMIS - Private Sector,,4880066,4392060,,,,488006,2016,"Missouri
(38.636168, -92.566292)"
Puerto Rico,Medical Assistance Program,Outpatient Hospital Services - Reg. Payments,,0,0,0,0,0,0,2016,"Puerto Rico
(18.215692, -66.414655)"
Arizona,Administration,HIT Incentive Payments: Eligible Professionals,,12888835,12888835,,,,0,2016,"Arizona
(34.869712, -111.760902)"
Colorado,Medical Assistance Program,T-Diagnostic Screening & Preventive Services,,0,0,0,0,0,0,2016,"Colorado
(38.841772, -106.132562)"
Missouri,Medical Assistance Program,T-Prepaid Ambulatory Health Plan,,0,0,0,0,0,0,2016,"Missouri
(38.636168, -92.566292)"
South Dakota,Medical Assistance Program,T-Personal Care Services - SDS 1915(j),,0,0,0,0,0,0,2016,"South Dakota
(44.35371, -100.373709)"
Massachusetts,Medical Assistance Program,Inpatient Hospital - Sup. Payments,,837797487,418898765,418898765,0,0,418898722,2016,"Massachusetts
(42.268546, -72.085064)"
New York,Medical Assistance Program,Physician & Surgical Services - Sup. Payments,,33987218,16993609,16993609,0,0,16993609,2016,"New York
(42.826892, -75.544286)"
New Jersey,Medical Assistance Program,Medicaid MCO - Evaluation and Management,,22186136,22186136,22186136,0,0,0,2016,"New Jersey
(40.104655, -74.386686)"
South Carolina,Medical Assistance Program,T-Home & Community-Based Services - Reg. Pay. (Waiv),,0,0,0,0,0,0,2016,"South Carolina
(34.009286, -81.037094)"
Oklahoma,Medical Assistance Program,T-Outpatient Hospital Services - Reg. Payments,,0,0,0,0,0,0,2016,"Oklahoma
(35.468494, -97.521264)"
Massachusetts,Medical Assistance Program,Medicare - Part B,,351892782,175946393,175946393,0,0,175946389,2016,"Massachusetts
(42.268546, -72.085064)"
Indiana,Administration,Resident Review,,2363443,1772583,,,,590860,2016,"Indiana
(39.76845, -86.156212)"
Alabama,Medical Assistance Program,Total Not Newly,,0,0,0,0,0,0,2016,"Alabama
(32.839182, -86.631125)"
Northern Mariana Islands,Medical Assistance Program,C-Total Net,,6356935,6032301,6032301,0,0,324634,2016,"Northern Mariana Islands
(15.1834, 145.725693)"
West Virginia,Medical Assistance Program,"Medicaid MCO - Preventive Services Grade A OR B, ACIP Vaccines and their Admin",,0,0,0,0,0,0,2016,"West Virginia
(38.668501, -80.709421)"
New Hampshire,Medical Assistance Program,T-Physical Therapy,,0,0,0,0,0,0,2016,"New Hampshire
(43.657736, -71.500736)"
Virginia,Medical Assistance Program,T-Increased ACA OFFSET - Fee for Service,,0,0,0,0,0,0,2016,"Virginia
(37.542699, -78.45822)"
New Jersey,Medical Assistance Program,Hospice Benefits,,40445972,20345509,20345509,0,0,20100463,2016,"New Jersey
(40.104655, -74.386686)"
Nebraska,Medical Assistance Program,Personal Care Services - SDS 1915(j),,0,0,0,0,0,0,2016,"Nebraska
(41.640503, -99.367122)"
Alaska,Medical Assistance Program,T-Increased ACA OFFSET - Fee for Service,,0,0,0,0,0,0,2016,"Alaska
(64.836661, -147.738891)"
Northern Mariana Islands,Medical Assistance Program,T-Physician & Surgical Services - Sup. Payments,,0,0,0,0,0,0,2016,"Northern Mariana Islands
(15.1834, 145.725693)"
Tennessee,Medical Assistance Program,Outpatient Hospital Services - Sup. Payments,,0,0,0,0,0,0,2016,"Tennessee
(35.681402, -85.774444)"
Maryland,Administration,Outstationed Eligibility,,0,0,,,,0,2016,"Maryland
(39.290443, -76.612333)"
Nevada,Medical Assistance Program,Prescribed Drugs,,266899646,190637423,190637423,0,0,76262223,2016,"Nevada
(39.491833, -117.070159)"
Alaska,Medical Assistance Program,Physical Therapy,,0,0,0,0,0,0,2016,"Alaska
(64.836661, -147.738891)"
Idaho,Administration,Drug Use Review,,103929,51965,,,,51964,2016,"Idaho
(43.680635, -114.364237)"
Oregon,Medical Assistance Program,T-MCO PAHP - Evaluation and Management,,0,0,0,0,0,0,2016,"Oregon
(44.567912, -120.156945)"
North Dakota,Administration,TPL - Assignment Of Rights,,0,0,,,,0,2016,"North Dakota
(47.475879, -100.121011)"
District of Columbia,Medical Assistance Program,C-Abortions,,0,0,0,0,0,0,2016,"District of Columbia
(38.892062, -77.019912)"
Indiana,Medical Assistance Program,Nursing Facility Services - Sup. Payments,,954168571,635476268,635476268,0,0,318692303,2016,"Indiana
(39.76845, -86.156212)"
Kansas,Medical Assistance Program,C-Outpatient Hospital Services,,7575,6982,6982,0,0,593,2016,"Kansas
(38.345528, -98.201847)"
North Dakota,Administration,Other Financial Participation,,24404208,12202106,,,,12202102,2016,"North Dakota
(47.475879, -100.121011)"
Arkansas,Medical Assistance Program,Nurse Mid-Wife,,61941,45999,45999,0,0,15942,2016,"Arkansas
(34.748745, -92.275105)"
Oklahoma,Medical Assistance Program,Medicaid - MCO,,-696,-434,-434,0,0,-262,2016,"Oklahoma
(35.468494, -97.521264)"
American Samoa,Medical Assistance Program,T-Emergency Hospital Services,,0,0,0,0,0,0,2016,American Samoa
Massachusetts,Medical Assistance Program,Home & Community-Based Services - St. Plan 1915(j) Only Pay.,,0,0,0,0,0,0,2016,"Massachusetts
(42.268546, -72.085064)"
Michigan,Medical Assistance Program,T-Health Home w Chronic Conditions,,0,0,0,0,0,0,2016,"Michigan
(44.66399, -84.711206)"
Tennessee,Medical Assistance Program,Increased ACA OFFSET - MCO,,0,0,0,0,0,0,2016,"Tennessee
(35.681402, -85.774444)"
South Dakota,Medical Assistance Program,Increased ACA OFFSET - MCO,,0,0,0,0,0,0,2016,"South Dakota
(44.35371, -100.373709)"
Colorado,Administration,Enrollment Brokers,,0,0,,,,0,2016,"Colorado
(38.841772, -106.132562)"
Nevada,Medical Assistance Program,T-Personal Care Services - Reg. Payments,,0,0,0,0,0,0,2016,"Nevada
(39.491833, -117.070159)"
Idaho,Medical Assistance Program,School Based Services,,37126054,26448601,26448601,0,0,10677453,2016,"Idaho
(43.680635, -114.364237)"
Iowa,Medical Assistance Program,T-Medicaid MCO - Community First Choice,,0,0,0,0,0,0,2016,"Iowa
(42.46942, -93.815856)"
Wisconsin,Administration,Interagency Costs (State Level),,2645743,1322885,,,,1322858,2016,"Wisconsin
(44.395526, -89.834513)"
Texas,Administration,Balance,,1511935133,972476291,,,,539458842,2016,"Texas
(31.827233, -99.423022)"
Alaska,Medical Assistance Program,C-Laboratory/Radiological Services,,49799,43037,43037,0,0,6762,2016,"Alaska
(64.836661, -147.738891)"
Pennsylvania,Medical Assistance Program,T-Emergency Hospital Services,,0,0,0,0,0,0,2016,"Pennsylvania
(40.789676, -77.858055)"
Kentucky,Administration,CVT Operation CHIPRA,,0,0,,,,0,2016,"Kentucky
(37.64591, -84.774043)"
Wyoming,Administration,Eligibility Determination Staff – Cost of In-house Activities – 50% FFP,,760814,380407,,,,380407,2016,"Wyoming
(43.23558, -108.110518)"
South Dakota,Medical Assistance Program,T-Other Care Services,,0,0,0,0,0,0,2016,"South Dakota
(44.35371, -100.373709)"
Connecticut,Medical Assistance Program,Total VIII Group,,1484730533,1385171116,1385088937,0,82179,99559417,2016,"Connecticut
(41.544654, -72.651713)"
Guam,Administration,Operation of an Approved Medicaid Eligibility Determination Systems – Cost of In-house Activities,,0,0,,,,0,2016,"Guam
(13.3532, 144.653198)"
Vermont,Medical Assistance Program,C-Premiums: Up To 150% - Cost Sharing Offset,,0,0,0,0,0,0,2016,"Vermont
(43.622479, -72.51927)"
Rhode Island,Medical Assistance Program,T-Nursing Facility Services - Sup. Payments,,0,0,0,0,0,0,2016,"Rhode Island
(41.707447, -71.522488)"
New Mexico,Medical Assistance Program,Rural Health,,-230486,-154657,-154657,0,0,-75829,2016,"New Mexico
(34.520396, -106.244402)"
Wyoming,Medical Assistance Program,C-Increased ACA OFFSET - MCO - 100%,,4123,4123,4123,0,0,0,2016,"Wyoming
(43.23558, -108.110518)"
American Samoa,Medical Assistance Program,T-MCO PIHP - Vaccine codes,,0,0,0,0,0,0,2016,American Samoa
Maryland,Medical Assistance Program,C-Inpatient Hospital Services - Reg. Payments,,13490400,11871552,11871552,0,0,1618848,2016,"Maryland
(39.290443, -76.612333)"
Virginia,Medical Assistance Program,Medicare - Part B,,214741941,107370972,107370972,0,0,107370969,2016,"Virginia
(37.542699, -78.45822)"
South Carolina,Medical Assistance Program,T-Mental Health Facility - DSH,,0,0,0,0,0,0,2016,"South Carolina
(34.009286, -81.037094)"
Guam,Medical Assistance Program,Total VIII Group,,22856904,19478992,19478992,0,0,3377912,2016,"Guam
(13.3532, 144.653198)"
North Dakota,Administration,Eligibility Determination Staff – Cost of In-house Activities – 50% FFP,,0,0,,,,0,2016,"North Dakota
(47.475879, -100.121011)"
Missouri,Medical Assistance Program,Home & Community Based Services State Plan 1915(k) Community First Choice,,0,0,0,0,0,0,2016,"Missouri
(38.636168, -92.566292)"
Hawaii,Medical Assistance Program,T-Medicaid MCO - Community First Choice,,0,0,0,0,0,0,2016,"Hawaii
(21.30992, -157.858158)"
New Jersey,Medical Assistance Program,Increased ACA OFFSET - MCO,,-14454365,-14454365,-14454365,0,0,0,2016,"New Jersey
(40.104655, -74.386686)"
Montana,Administration,Drug Use Review,,0,0,,,,0,2016,"Montana
(47.062617, -109.430168)"
Northern Mariana Islands,Medical Assistance Program,MCO PIHP - Evaluation and Management,,0,0,0,0,0,0,2016,"Northern Mariana Islands
(15.1834, 145.725693)"
Massachusetts,Medical Assistance Program,Coinsurance,,0,0,0,0,0,0,2016,"Massachusetts
(42.268546, -72.085064)"
Florida,Medical Assistance Program,Nursing Facility Services - Reg. Payments,,461315614,279881387,279881387,0,0,181434227,2016,"Florida
(28.915325, -81.922409)"
District of Columbia,Medical Assistance Program,Total VIII Group,,424074197,422513294,422513294,0,0,1560903,2016,"District of Columbia
(38.892062, -77.019912)"
Wisconsin,Medical Assistance Program,T-Prepaid Ambulatory Health Plan,,0,0,0,0,0,0,2016,"Wisconsin
(44.395526, -89.834513)"
Massachusetts,Medical Assistance Program,Freestanding Birth Center,,0,0,0,0,0,0,2016,"Massachusetts
(42.268546, -72.085064)"
Ohio,Medical Assistance Program,Total VIII Group,,4560337279,4419669971,4419636455,0,33516,140667308,2016,"Ohio
(40.056807, -82.405897)"
Oklahoma,Medical Assistance Program,Total Net Expenditures,,4460334118,2783567716,2783571068,-3352,0,1676766402,2016,"Oklahoma
(35.468494, -97.521264)"
Delaware,Medical Assistance Program,T-Other Care Services,,0,0,0,0,0,0,2016,"Delaware
(39.008676, -75.574561)"
Colorado,Medical Assistance Program,C-Inpatient Hospital Services - Reg. Payments,,5002765,4604343,4604343,0,0,398422,2016,"Colorado
(38.841772, -106.132562)"
Guam,Medical Assistance Program,T-MCO PIHP - Evaluation and Management,,0,0,0,0,0,0,2016,"Guam
(13.3532, 144.653198)"
District of Columbia,Administration,TPL - Assignment Of Rights,,8804,4403,,,,4401,2016,"District of Columbia
(38.892062, -77.019912)"
Georgia,Medical Assistance Program,T-Emergency Hospital Services,,0,0,0,0,0,0,2016,"Georgia
(32.836038, -83.631709)"
Michigan,Medical Assistance Program,C-Medicare Payments,,0,0,0,0,0,0,2016,"Michigan
(44.66399, -84.711206)"
North Dakota,Medical Assistance Program,"T-Prosthetic Devices, Dentures, Eyeglasses",,0,0,0,0,0,0,2016,"North Dakota
(47.475879, -100.121011)"
Utah,Medical Assistance Program,C-Nursing Care Services,,373567,373586,373586,0,0,-19,2016,"Utah
(39.359772, -111.584173)"
New Mexico,Medical Assistance Program,Physician & Surgical Services - Reg. Payments,,15146094,13487883,13488098,-215,0,1658211,2016,"New Mexico
(34.520396, -106.244402)"
Arkansas,Medical Assistance Program,T-Diagnostic Screening & Preventive Services,,0,0,0,0,0,0,2016,"Arkansas
(34.748745, -92.275105)"
Arizona,Medical Assistance Program,Nursing Facility Services - Sup. Payments,,5774347,3979681,3979681,0,0,1794666,2016,"Arizona
(34.869712, -111.760902)"
Montana,Medical Assistance Program,T-Emergency,,0,0,0,0,0,0,2016,"Montana
(47.062617, -109.430168)"
Oklahoma,Administration,Eligibility Determination Staff – Cost of Private Sector Contractors – 50% FFP,,0,0,,,,0,2016,"Oklahoma
(35.468494, -97.521264)"
New Jersey,Administration,Immigration Status,,8807,8807,,,,0,2016,"New Jersey
(40.104655, -74.386686)"
Colorado,Medical Assistance Program,Drug Rebate Offset - State Sidebar Agreement,,-5434673,-3740451,-3740451,0,0,-1694222,2016,"Colorado
(38.841772, -106.132562)"
Virginia,Medical Assistance Program,"T-MCO PAHP - Preventive Services Grade A OR B, ACIP Vaccines and their Admin",,0,0,0,0,0,0,2016,"Virginia
(37.542699, -78.45822)"
California,Medical Assistance Program,Intermediate Care Facility - Public,,195955103,97977559,97977559,0,0,97977544,2016,"California
(37.640735, -121.002435)"
Arizona,Medical Assistance Program,Physical Therapy,,68073,53467,53467,0,0,14606,2016,"Arizona
(34.869712, -111.760902)"
Massachusetts,Medical Assistance Program,Physician & Surgical Services - Sup. Payments,,0,0,0,0,0,0,2016,"Massachusetts
(42.268546, -72.085064)"
